PO_ID,Product_ID,Order_Date,Promised_ETA_Date,Actual_Arrival_Date,Qty_Ordered,Qty_Received
PO-02816,SKU-094,2025-12-03,2025-12-17,2025-12-18,375,375.0
PO-02492,SKU-084,2024-05-22,2024-06-09,2024-06-11,547,547.0
PO-01348,SKU-046,2024-06-05,2024-06-23,2024-06-25,444,444.0
PO-02635,SKU-088,13/08/2025,2025-08-27,2025-08-27,503,503.0
PO-02526,SKU-085,08-21-2024,2024-09-11,2024-09-15,382,382.0
PO-00864,SKU-029,2025-10-29,2025-11-12,2025-11-15,538,538.0
PO-01559,SKU-053,09-18-2024,2024-10-09,2024-10-09,552,552.0
PO-01232,SKU-042,2024-10-30,2024-11-13,2024-11-17,437,437.0
PO-02959,SKU-099,2025-07-23,2025-08-13,2025-08-13,473,473.0
PO-01835,SKU-062,27/11/2024,2024-12-18,2024-12-20,253,253.0
PO-01563,SKU-053,2024-12-25,2025-01-15,2025-01-15,298,298.0
PO-01511,SKU-051,2025-05-14,2025-06-04,2025-06-14,614,614.0
PO-00621,SKU-021,2025-03-26,2025-04-09,2025-04-12,354,354.0
PO-01189,SKU-040,24/09/2025,2025-10-08,2025-10-13,376,376.0
PO-02551,SKU-086,03-Apr-2024,2024-04-21,2024-04-24,447,447.0
PO-01920,SKU-065,07-17-2024,2024-08-07,2024-08-10,469,469.0
PO-00351,SKU-012,2025-05-28,2025-06-11,2025-06-11,556,556.0
PO-01049,SKU-036,2024-03-13,2024-03-27,2024-03-29,363,301.0
PO-02448,SKU-082,17-Sep-2025,2025-10-05,2025-10-05,404,289.0
PO-00488,SKU-017,2024-05-15,2024-05-29,2024-06-01,356,356.0
PO-01581,SKU-053,2025-12-24,2026-01-14,,960,
PO-00280,SKU-010,2024-08-07,2024-08-25,2024-08-27,468,468.0
PO-01513,SKU-051,2025-07-16,2025-08-06,2025-08-08,638,638.0
PO-02414,SKU-081,2025-06-25,2025-07-09,2025-07-10,334,334.0
PO-01412,SKU-048,2024-10-02,2024-10-20,2024-10-20,306,306.0
PO-01230,SKU-042,2024-09-04,2024-09-18,2024-09-23,362,362.0
PO-02805,SKU-094,2025-03-12,2025-03-26,2025-03-27,366,308.0
PO-02226,SKU-075,2025-02-05,2025-02-19,2025-02-20,379,379.0
PO-00229,SKU-008,2025-06-04,2025-06-22,2025-06-22,500,500.0
PO-00873,SKU-030,2024-05-29,2024-06-19,2024-07-07,435,435.0
PO-02420,SKU-081,2025-12-03,,2025-12-18,245,245.0
PO-00823,SKU-028,12-11-2024,2025-01-01,2025-01-01,431,361.0
PO-02330,SKU-079,07-Feb-2024,2024-02-21,2024-02-23,419,419.0
PO-00895,SKU-030,2025-11-12,2025-12-03,2025-12-03,424,424.0
PO-02987,SKU-100,28/05/2025,2025-06-11,2025-06-13,373,373.0
PO-02041,SKU-069,09-04-2024,2024-09-25,2024-09-27,424,424.0
PO-01176,SKU-040,2024-11-13,2024-11-27,2024-11-29,344,344.0
PO-00057,SKU-002,2025-10-08,2025-10-26,2025-10-26,573,573.0
PO-02567,SKU-086,2025-04-30,2025-05-18,2025-05-18,414,414.0
PO-01288,SKU-044,2024-07-03,2024-07-17,2024-07-17,453,453.0
PO-01092,SKU-037,01/01/2025,2025-01-15,2025-01-18,269,269.0
PO-01631,SKU-055,2025-03-05,2025-03-26,2025-03-26,527,527.0
PO-02553,SKU-086,2024-05-22,2024-06-09,2024-06-09,404,404.0
PO-00794,SKU-027,08/01/2025,2025-01-29,2025-02-02,472,472.0
PO-00530,SKU-018,02-12-2025,2025-02-26,2025-02-26,651,651.0
PO-00358,SKU-012,12-Nov-2025,2025-11-26,2025-11-26,509,509.0
PO-01914,SKU-065,2024-02-21,2024-03-13,2024-03-13,321,321.0
PO-01104,SKU-037,2025-11-05,2025-11-19,2025-11-20,390,390.0
PO-01216,SKU-041,22-Oct-2025,2025-11-12,2025-11-15,361,361.0
PO-01635,SKU-055,2025-06-18,2025-07-09,2025-07-28,538,538.0
PO-00886,SKU-030,2025-04-02,2025-04-23,2025-05-07,495,495.0
PO-00414,SKU-014,03/09/2025,2025-09-21,2025-09-21,455,455.0
PO-02858,SKU-096,16/10/2024,2024-10-30,2024-11-04,412,412.0
PO-01236,SKU-042,02-05-2025,2025-02-19,2025-02-19,413,413.0
PO-00666,SKU-023,2024-03-13,2024-04-03,2024-04-06,271,271.0
PO-00058,SKU-002,2025-11-05,2025-11-23,2025-11-27,364,364.0
PO-02040,SKU-069,2024-08-14,2024-09-04,2024-09-07,352,352.0
PO-01041,SKU-035,2025-08-06,2025-08-24,2025-08-25,385,385.0
PO-01444,SKU-049,2024-12-11,2024-12-29,2024-12-29,474,474.0
PO-00585,SKU-020,2024-11-13,2024-12-01,2024-12-01,377,377.0
PO-01089,SKU-037,2024-10-30,2024-11-13,2024-11-13,346,346.0
PO-02831,SKU-095,2025-01-01,2025-01-15,2025-01-16,533,533.0
PO-02160,SKU-073,2024-10-16,2024-11-03,2024-11-03,358,358.0
PO-00170,SKU-006,2025-05-21,2025-06-04,2025-06-04,464,464.0
PO-02013,SKU-068,30-Oct-2024,2024-11-20,2024-11-22,446,446.0
PO-01509,SKU-051,19/03/2025,2025-04-09,2025-04-09,539,539.0
PO-02229,SKU-075,04-16-2025,2025-04-30,2025-04-30,613,613.0
PO-00477,SKU-016,2025-08-27,2025-09-17,2025-09-18,358,358.0
PO-00482,SKU-016,2025-12-17,2026-01-07,,421,
PO-00962,SKU-033,2024-05-08,2024-05-29,2024-06-08,396,396.0
PO-01745,SKU-059,2024-11-13,2024-12-04,2024-12-09,250,221.0
PO-00360,SKU-013,10/01/2024,2024-01-31,2024-02-03,562,562.0
PO-01360,SKU-046,2025-03-12,2025-03-30,2025-04-12,389,389.0
PO-02726,SKU-091,2025-09-17,2025-10-01,2025-10-02,406,406.0
PO-02580,SKU-087,2024-01-31,2024-02-18,2024-03-10,512,512.0
PO-02680,SKU-090,2024-09-04,2024-09-18,2024-09-18,580,415.0
PO-00314,SKU-011,2024-12-18,2025-01-01,2025-01-01,462,462.0
PO-02162,SKU-073,2024-12-04,2024-12-22,2024-12-24,364,364.0
PO-00091,SKU-004,2024-03-13,2024-03-31,2024-04-15,526,526.0
PO-00722,SKU-025,2024-03-13,2024-03-27,2024-03-27,525,525.0
PO-01161,SKU-039,19/11/2025,2025-12-07,2025-12-07,428,428.0
PO-00738,SKU-025,2025-03-19,2025-04-02,2025-04-04,449,449.0
PO-00984,SKU-033,2025-10-29,2025-11-19,2025-11-19,370,370.0
PO-02065,SKU-070,27-Mar-2024,2024-04-10,2024-04-10,382,382.0
PO-00236,SKU-008,2025-11-19,2025-12-07,2025-12-09,523,523.0
PO-00271,SKU-010,10-Jan-2024,2024-01-28,2024-02-18,411,411.0
PO-01452,SKU-049,2025-06-25,2025-07-13,2025-07-14,428,428.0
PO-02673,SKU-090,06/03/2024,2024-03-20,2024-03-20,384,384.0
PO-01869,SKU-063,2025-03-05,2025-03-19,2025-03-19,501,501.0
PO-00297,SKU-010,29-Oct-2025,2025-11-16,2025-11-16,585,585.0
PO-01819,SKU-061,2025-10-22,2025-11-09,2025-11-10,527,527.0
PO-01282,SKU-044,21-Feb-2024,2024-03-06,2024-03-08,440,440.0
PO-00575,SKU-020,2024-02-21,2024-03-10,2024-03-27,321,321.0
PO-02449,SKU-082,2025-10-08,2025-10-26,2025-10-28,272,272.0
PO-01316,SKU-045,2024-05-01,2024-05-15,2024-05-15,479,479.0
PO-02978,SKU-100,2024-11-06,2024-11-20,2024-11-21,406,406.0
PO-01414,SKU-048,2024-11-20,2024-12-08,2024-12-08,388,388.0
PO-01096,SKU-037,2025-04-09,2025-04-23,2025-04-23,301,301.0
PO-00832,SKU-028,2025-08-13,2025-09-03,2025-09-03,492,492.0
PO-00591,SKU-020,2025-04-23,2025-05-11,2025-05-13,297,297.0
PO-00713,SKU-024,2025-07-16,2025-08-03,2025-08-04,511,511.0
PO-02111,SKU-071,2025-05-07,2025-05-25,2025-05-25,407,407.0
PO-00281,SKU-010,2024-08-28,,2024-09-15,529,529.0
PO-00809,SKU-028,10/01/2024,2024-01-31,2024-02-01,388,388.0
PO-02564,SKU-086,2025-02-05,2025-02-23,2025-03-11,522,522.0
PO-00026,SKU-001,2025-09-17,2025-10-05,2025-10-05,520,520.0
PO-01926,SKU-065,2025-01-08,2025-01-29,2025-01-31,375,375.0
PO-02458,SKU-083,2024-04-03,2024-04-24,2024-05-10,411,411.0
PO-02092,SKU-071,2024-01-17,2024-02-04,2024-02-13,345,345.0
PO-01915,SKU-065,2024-03-06,2024-03-27,2024-03-27,465,465.0
PO-02000,SKU-067,2025-12-03,2025-12-21,2025-12-22,300,300.0
PO-00691,SKU-024,2024-01-31,2024-02-18,2024-03-04,403,403.0
PO-00171,SKU-006,2025-06-18,2025-07-02,2025-07-04,482,370.0
PO-00580,SKU-020,2024-07-10,2024-07-28,2024-07-28,231,231.0
PO-02566,SKU-086,2025-04-02,2025-04-20,2025-04-23,417,417.0
PO-01821,SKU-061,2025-12-17,2026-01-04,,431,
PO-01170,SKU-040,2024-06-12,2024-06-26,2024-06-26,518,518.0
PO-00996,SKU-034,2024-07-31,2024-08-18,2024-08-20,499,499.0
PO-02410,SKU-081,2025-03-19,2025-04-02,2025-04-02,227,227.0
PO-02098,SKU-071,2024-06-26,2024-07-14,2024-07-16,381,381.0
PO-02080,SKU-070,2025-03-12,2025-03-26,2025-03-31,373,373.0
PO-00255,SKU-009,2025-01-01,2025-01-15,2025-01-15,354,354.0
PO-00051,SKU-002,2025-05-07,2025-05-25,2025-05-25,542,542.0
PO-00847,SKU-029,04/09/2024,2024-09-18,2024-09-18,464,464.0
PO-00485,SKU-017,2024-02-28,2024-03-13,2024-03-14,408,408.0
PO-01266,SKU-043,29/01/2025,2025-02-19,2025-02-19,464,464.0
PO-02143,SKU-072,2025-09-03,2025-09-24,2025-09-28,312,312.0
PO-02380,SKU-080,2025-04-16,2025-05-07,2025-05-19,431,431.0
PO-01183,SKU-040,2025-04-30,2025-05-14,2025-05-18,352,352.0
PO-00207,SKU-007,05/11/2025,2025-11-19,2025-11-19,369,369.0
PO-01313,SKU-045,2024-02-21,2024-03-06,2024-03-07,622,622.0
PO-01556,SKU-053,2024-06-26,2024-07-17,2024-07-31,523,523.0
PO-01553,SKU-053,03-Apr-2024,2024-04-24,2024-05-14,578,578.0
PO-00274,SKU-010,03-27-2024,2024-04-14,2024-04-29,307,269.0
PO-01137,SKU-039,2024-03-27,2024-04-14,2024-04-25,522,522.0
PO-00894,SKU-030,2025-10-22,2025-11-12,2025-11-18,472,472.0
PO-01572,SKU-053,30-Jul-2025,2025-08-20,2025-08-20,383,383.0
PO-02834,SKU-095,03-12-2025,2025-03-26,2025-03-28,574,574.0
PO-02892,SKU-097,01-08-2025,2025-01-26,2025-02-15,361,361.0
PO-01001,SKU-034,2024-11-27,2024-12-15,2024-12-15,357,287.0
PO-00915,SKU-031,2025-01-29,2025-02-12,2025-02-17,291,256.0
PO-01077,SKU-037,2024-01-10,2024-01-24,2024-01-28,343,303.0
PO-01185,SKU-040,2025-06-11,2025-06-25,2025-06-27,429,429.0
PO-00167,SKU-006,2025-03-19,2025-04-02,2025-04-02,323,323.0
PO-00194,SKU-007,2024-12-25,2025-01-08,2025-01-09,374,374.0
PO-01946,SKU-066,2024-05-22,2024-06-12,2024-06-24,288,288.0
PO-02995,SKU-100,12-10-2025,2025-12-24,2025-12-24,589,589.0
PO-02694,SKU-090,2025-08-13,2025-08-27,2025-08-29,426,426.0
PO-02937,SKU-099,2024-01-31,2024-02-21,2024-02-22,484,484.0
PO-02346,SKU-079,2025-03-12,2025-03-26,2025-03-26,454,454.0
PO-02520,SKU-085,2024-03-20,2024-04-10,2024-04-10,393,393.0
PO-00686,SKU-023,2025-08-13,2025-09-03,2025-09-06,407,407.0
PO-02381,SKU-080,05-07-2025,2025-05-28,2025-06-15,425,425.0
PO-02257,SKU-076,2025-04-09,2025-04-30,2025-05-17,282,282.0
PO-02192,SKU-074,2024-12-18,2025-01-08,2025-01-11,333,333.0
PO-00113,SKU-004,2025-09-03,2025-09-21,2025-09-21,391,391.0
PO-01969,SKU-066,2025-12-10,2025-12-31,,291,
PO-02295,SKU-077,2025-11-05,2025-11-19,2025-11-19,539,539.0
PO-02907,SKU-098,2024-01-17,2024-02-04,2024-02-21,541,541.0
PO-01169,SKU-040,2024-05-15,2024-05-29,2024-05-29,410,410.0
PO-01180,SKU-040,2025-02-19,2025-03-05,2025-03-05,423,423.0
PO-00596,SKU-020,13-Aug-2025,2025-08-31,2025-08-31,350,350.0
PO-01673,SKU-056,2025-11-12,2025-11-30,2025-12-01,334,334.0
PO-02661,SKU-089,2025-04-30,2025-05-14,2025-05-16,377,377.0
PO-01415,SKU-048,2024-12-18,2025-01-05,2025-01-06,414,414.0
PO-01855,SKU-063,2024-03-06,2024-03-20,2024-03-20,541,541.0
PO-00639,SKU-022,2024-07-10,2024-07-24,2024-07-24,372,372.0
PO-01756,SKU-059,03-Sep-2025,2025-09-24,2025-09-24,308,308.0
PO-02817,SKU-095,01-31-2024,2024-02-14,2024-02-15,495,495.0
PO-01097,SKU-037,2025-04-30,2025-05-14,2025-05-16,290,290.0
PO-00210,SKU-008,2024-01-17,2024-02-04,2024-02-24,558,558.0
PO-02212,SKU-075,02-28-2024,2024-03-13,2024-03-13,415,415.0
PO-02730,SKU-091,2025-12-24,2026-01-07,,325,
PO-02242,SKU-076,2024-03-27,2024-04-17,2024-04-17,207,207.0
PO-01359,SKU-046,19/02/2025,2025-03-09,2025-03-24,576,576.0
PO-00272,SKU-010,31-Jan-2024,2024-02-18,2024-03-04,456,456.0
PO-01349,SKU-046,2024-06-26,2024-07-14,2024-07-15,503,503.0
PO-00110,SKU-004,25-Jun-2025,2025-07-13,2025-07-14,466,466.0
PO-02453,SKU-082,2025-12-17,2026-01-04,,433,
PO-00432,SKU-015,2024-11-20,2024-12-04,2024-12-04,560,560.0
PO-02881,SKU-097,17/04/2024,2024-05-05,2024-05-05,410,410.0
PO-01782,SKU-060,2025-06-04,2025-06-22,2025-06-24,379,379.0
PO-00637,SKU-022,2024-05-29,2024-06-12,2024-06-13,397,397.0
PO-00982,SKU-033,2025-09-17,2025-10-08,2025-10-08,318,318.0
PO-02632,SKU-088,18-Jun-2025,2025-07-02,2025-07-05,387,387.0
PO-00097,SKU-004,2024-07-31,2024-08-18,2024-08-20,394,394.0
PO-01143,SKU-039,2024-08-28,2024-09-15,2024-09-15,588,588.0
PO-02024,SKU-068,2025-08-13,2025-09-03,2025-09-03,267,267.0
PO-01886,SKU-064,05-08-2024,2024-05-22,2024-05-25,302,302.0
PO-00119,SKU-005,2024-02-07,2024-02-21,2024-02-21,355,355.0
PO-02484,SKU-083,2025-12-03,2025-12-24,,349,
PO-00052,SKU-002,2025-06-04,2025-06-22,2025-06-24,537,537.0
PO-00739,SKU-025,04-16-2025,2025-04-30,2025-04-30,517,517.0
PO-00628,SKU-021,2025-09-24,2025-10-08,2025-10-11,340,340.0
PO-01757,SKU-059,24-Sep-2025,2025-10-15,2025-10-15,304,304.0
PO-00006,SKU-001,2024-05-29,2024-06-16,2024-06-18,479,479.0
PO-01957,SKU-066,2025-01-29,2025-02-19,2025-02-21,389,389.0
PO-01524,SKU-052,03-27-2024,2024-04-14,2024-05-01,448,448.0
PO-02947,SKU-099,16-Oct-2024,2024-11-06,2024-11-06,301,301.0
PO-02356,SKU-079,05/11/2025,2025-11-19,2025-11-19,410,305.0
PO-01641,SKU-055,2025-11-05,2025-11-26,2025-11-28,509,509.0
PO-01890,SKU-064,2024-08-14,2024-08-28,2024-08-31,398,398.0
PO-01953,SKU-066,2024-11-13,2024-12-04,2024-12-06,250,250.0
PO-00048,SKU-002,2025-02-12,2025-03-02,2025-03-21,399,399.0
PO-00163,SKU-006,2024-12-18,2025-01-01,2025-01-01,401,401.0
PO-02640,SKU-088,2025-12-17,2025-12-31,,597,
PO-01704,SKU-057,2025-12-24,2026-01-07,,400,
PO-02732,SKU-092,2024-02-14,2024-02-28,2024-02-28,455,455.0
PO-01691,SKU-057,2025-01-29,2025-02-12,2025-02-13,416,416.0
PO-02359,SKU-079,2025-12-24,2026-01-07,,523,
PO-01777,SKU-060,2025-01-29,2025-02-16,2025-02-28,310,310.0
PO-01535,SKU-052,2025-01-08,2025-01-26,2025-02-12,454,454.0
PO-02844,SKU-095,11-12-2025,2025-11-26,2025-11-29,557,557.0
PO-02806,SKU-094,2025-04-02,2025-04-16,2025-04-16,347,347.0
PO-01206,SKU-041,2025-01-08,2025-01-29,2025-01-31,302,302.0
PO-01527,SKU-052,2024-06-19,2024-07-07,2024-07-07,421,421.0
PO-01935,SKU-065,2025-08-27,2025-09-17,2025-09-18,344,344.0
PO-00651,SKU-022,04-30-2025,2025-05-14,2025-05-14,397,397.0
PO-02136,SKU-072,26-Feb-2025,2025-03-19,2025-03-22,365,365.0
PO-02530,SKU-085,2024-12-04,2024-12-25,2024-12-29,243,243.0
PO-02540,SKU-085,13/08/2025,2025-09-03,2025-09-04,250,250.0
PO-02303,SKU-078,08-May-2024,2024-05-29,2024-06-14,340,340.0
PO-02009,SKU-068,2024-07-31,2024-08-21,2024-08-21,336,336.0
PO-02981,SKU-100,2025-01-15,2025-01-29,2025-01-30,470,470.0
PO-02575,SKU-086,11-12-2025,2025-11-30,2025-12-05,496,496.0
PO-00710,SKU-024,2025-05-07,2025-05-25,2025-05-25,635,635.0
PO-01073,SKU-036,2025-10-15,2025-10-29,2025-10-29,315,315.0
PO-02197,SKU-074,04-02-2025,2025-04-23,2025-05-18,333,333.0
PO-00187,SKU-007,26/06/2024,2024-07-10,2024-07-14,259,259.0
PO-02885,SKU-097,2024-07-24,2024-08-11,2024-08-15,437,437.0
PO-00124,SKU-005,29-May-2024,2024-06-12,2024-06-13,355,355.0
PO-01746,SKU-059,2024-12-04,2024-12-25,2024-12-25,244,244.0
PO-02045,SKU-069,11-Dec-2024,2025-01-01,2025-01-01,460,460.0
PO-02618,SKU-088,2024-07-24,2024-08-07,2024-08-08,558,558.0
PO-02522,SKU-085,2024-05-15,2024-06-05,2024-06-22,306,306.0
PO-01428,SKU-048,2025-11-26,2025-12-14,2025-12-18,309,309.0
PO-00777,SKU-026,22/10/2025,2025-11-05,2025-11-05,413,413.0
PO-00264,SKU-009,2025-08-13,2025-08-27,2025-09-01,311,311.0
PO-02852,SKU-096,2024-05-01,2024-05-15,2024-05-15,431,431.0
PO-00137,SKU-005,2025-04-09,2025-04-23,2025-04-24,384,384.0
PO-00293,SKU-010,2025-07-09,2025-07-27,2025-07-27,435,435.0
PO-01868,SKU-063,2025-02-05,2025-02-19,2025-02-19,501,501.0
PO-01420,SKU-048,2025-04-30,2025-05-18,2025-05-18,242,242.0
PO-00089,SKU-004,2024-01-24,2024-02-11,2024-02-22,557,557.0
PO-02915,SKU-098,2024-07-31,2024-08-18,2024-08-21,391,391.0
PO-02347,SKU-079,2025-04-02,2025-04-16,2025-04-16,277,277.0
PO-01781,SKU-060,07-May-2025,2025-05-25,2025-05-28,338,338.0
PO-00891,SKU-030,2025-08-06,2025-08-27,2025-08-27,412,412.0
PO-02960,SKU-099,20-Aug-2025,2025-09-10,2025-09-12,472,472.0
PO-02896,SKU-097,23/04/2025,2025-05-11,2025-05-11,508,508.0
PO-00261,SKU-009,2025-05-28,2025-06-11,2025-06-15,294,294.0
PO-01271,SKU-043,18-Jun-2025,2025-07-09,2025-07-29,382,382.0
PO-00219,SKU-008,11-Sep-2024,2024-09-29,2024-10-02,544,544.0
PO-01087,SKU-037,2024-09-11,2024-09-25,2024-09-25,311,311.0
PO-02075,SKU-070,2024-12-04,2024-12-18,2024-12-18,326,326.0
PO-00322,SKU-011,2025-07-02,2025-07-16,2025-07-16,384,384.0
PO-02721,SKU-091,21-May-2025,2025-06-04,2025-06-08,271,271.0
PO-00499,SKU-017,2025-01-15,2025-01-29,2025-01-29,469,469.0
PO-02077,SKU-070,01-08-2025,2025-01-22,2025-01-22,336,336.0
PO-02744,SKU-092,01-15-2025,2025-01-29,2025-01-29,469,469.0
PO-02133,SKU-072,2024-12-25,2025-01-15,2025-01-17,251,251.0
PO-02411,SKU-081,2025-04-09,2025-04-23,2025-04-23,352,352.0
PO-00075,SKU-003,2025-01-15,2025-01-29,2025-01-30,518,518.0
PO-00929,SKU-032,2024-02-07,2024-02-25,2024-03-10,330,330.0
PO-01860,SKU-063,2024-07-10,2024-07-24,2024-07-24,505,505.0
PO-02231,SKU-075,04/06/2025,2025-06-18,2025-06-20,455,455.0
PO-01072,SKU-036,2025-09-24,2025-10-08,2025-10-08,237,237.0
PO-02406,SKU-081,2024-12-18,2025-01-01,2025-01-01,373,373.0
PO-00812,SKU-028,03-20-2024,2024-04-10,2024-04-12,321,321.0
PO-00863,SKU-029,01/10/2025,2025-10-15,2025-10-18,480,480.0
PO-01007,SKU-034,2025-04-30,2025-05-18,2025-05-18,348,348.0
PO-00041,SKU-002,08-21-2024,2024-09-08,2024-09-11,384,384.0
PO-01546,SKU-052,10-01-2025,2025-10-19,2025-10-19,513,513.0
PO-01262,SKU-043,2024-10-16,2024-11-06,2024-11-09,391,391.0
PO-02393,SKU-081,2024-02-14,2024-02-28,2024-03-02,372,372.0
PO-00416,SKU-014,05-Nov-2025,2025-11-23,2025-11-23,380,380.0
PO-02876,SKU-096,2025-12-17,2025-12-31,,315,
PO-02542,SKU-085,2025-09-24,2025-10-15,2025-10-17,311,311.0
PO-01583,SKU-054,2024-02-07,2024-02-21,2024-02-21,320,320.0
PO-00030,SKU-001,2025-12-17,2026-01-04,,728,
PO-01818,SKU-061,2025-09-24,2025-10-12,2025-10-12,411,411.0
