Incident_ID,Product_ID,Start_Date,End_Date,Duration_Days,Root_Cause
INC-00029,SKU-023,2024-06-12,2024-06-19,7,Packaging Shortage
INC-00030,SKU-023,2025-05-21,2025-05-28,7,Packaging Shortage
INC-00031,SKU-023,2025-07-09,2025-07-16,7,Packaging Shortage
INC-00032,SKU-024,2024-02-28,2024-03-06,7,Packaging Shortage
INC-00033,SKU-024,2024-03-20,2024-03-27,7,Packaging Shortage
INC-00034,SKU-024,2025-02-19,2025-02-26,7,Packaging Shortage
INC-00035,SKU-024,2025-04-09,2025-04-16,7,Packaging Shortage
INC-00036,SKU-027,2024-05-15,2024-05-22,7,Packaging Shortage
INC-00037,SKU-027,2024-07-31,2024-08-07,7,Packaging Shortage
INC-00038,SKU-027,2025-06-18,2025-06-25,7,Packaging Shortage
INC-00039,SKU-028,2024-07-10,2024-07-24,14,Packaging Shortage
INC-00040,SKU-028,2025-05-14,2025-05-21,7,Packaging Shortage
INC-00041,SKU-028,2025-06-18,2025-06-25,7,Packaging Shortage
INC-00042,SKU-030,2024-05-15,2024-05-22,7,Packaging Shortage
INC-00043,SKU-030,2024-07-03,2024-07-10,7,Packaging Shortage
INC-00044,SKU-030,2025-07-23,2025-07-30,7,Packaging Shortage
INC-00045,SKU-032,2024-04-03,2024-04-10,7,Packaging Shortage
INC-00046,SKU-032,2025-03-26,2025-04-09,14,Packaging Shortage
INC-00047,SKU-033,2024-05-15,2024-05-22,7,Packaging Shortage
INC-00048,SKU-033,2024-06-26,2024-07-17,21,Packaging Shortage
INC-00049,SKU-033,2025-05-07,2025-05-14,7,Packaging Shortage
INC-00050,SKU-033,2025-07-02,2025-07-09,7,Packaging Shortage
INC-00051,SKU-034,2024-02-14,2024-02-28,14,Packaging Shortage
INC-00052,SKU-034,2025-04-02,2025-04-16,14,Packaging Shortage
INC-00053,SKU-035,2024-02-21,2024-02-28,7,Packaging Shortage
INC-00054,SKU-035,2024-03-13,2024-03-27,14,Packaging Shortage
INC-00055,SKU-035,2025-02-12,2025-02-19,7,Packaging Shortage
INC-00056,SKU-035,2025-03-26,2025-04-09,14,Packaging Shortage
INC-00057,SKU-038,2025-02-05,2025-02-12,7,Packaging Shortage
INC-00058,SKU-038,2025-03-05,2025-03-19,14,Packaging Shortage
INC-00059,SKU-039,2024-02-28,2024-03-13,14,Packaging Shortage
INC-00060,SKU-039,2024-04-24,2024-05-01,7,Packaging Shortage
INC-00061,SKU-039,2025-01-29,2025-02-05,7,Packaging Shortage
INC-00062,SKU-039,2025-04-16,2025-04-23,7,Packaging Shortage
INC-00063,SKU-041,2024-05-22,2024-05-29,7,Packaging Shortage
INC-00064,SKU-041,2024-07-24,2024-07-31,7,Packaging Shortage
INC-00065,SKU-041,2025-05-21,2025-05-28,7,Packaging Shortage
INC-00066,SKU-041,2025-07-23,2025-07-30,7,Packaging Shortage
INC-00067,SKU-043,2024-06-12,2024-06-19,7,Packaging Shortage
INC-00068,SKU-043,2025-05-21,2025-05-28,7,Packaging Shortage
INC-00069,SKU-043,2025-07-16,2025-07-30,14,Packaging Shortage
INC-00070,SKU-046,2025-02-05,2025-02-12,7,Packaging Shortage
INC-00071,SKU-046,2025-03-19,2025-03-26,7,Packaging Shortage
INC-00072,SKU-048,2024-02-14,2024-02-28,14,Packaging Shortage
INC-00073,SKU-048,2024-04-03,2024-04-10,7,Packaging Shortage
INC-00074,SKU-048,2025-04-02,2025-04-16,14,Packaging Shortage
INC-00075,SKU-049,2024-04-24,2024-05-01,7,Packaging Shortage
INC-00076,SKU-051,2024-07-10,2024-07-17,7,Packaging Shortage
INC-00077,SKU-051,2025-05-14,2025-05-28,14,Packaging Shortage
INC-00078,SKU-052,2024-02-14,2024-02-21,7,Packaging Shortage
INC-00079,SKU-052,2024-04-03,2024-04-17,14,Packaging Shortage
INC-00080,SKU-053,2024-05-08,2024-05-15,7,Packaging Shortage
INC-00081,SKU-053,2024-06-12,2024-06-19,7,Packaging Shortage
INC-00082,SKU-053,2024-07-10,2024-07-24,14,Packaging Shortage
INC-00083,SKU-053,2025-07-16,2025-07-23,7,Packaging Shortage
INC-00084,SKU-055,2024-07-10,2024-07-17,7,Packaging Shortage
INC-00085,SKU-055,2025-05-07,2025-05-14,7,Packaging Shortage
INC-00086,SKU-055,2025-06-25,2025-07-02,7,Packaging Shortage
INC-00087,SKU-055,2025-07-16,2025-07-30,14,Packaging Shortage
INC-00088,SKU-056,2024-04-17,2024-04-24,7,Packaging Shortage
INC-00089,SKU-056,2025-02-05,2025-02-12,7,Packaging Shortage
INC-00090,SKU-058,2024-08-14,2024-08-21,7,Packaging Shortage
INC-00091,SKU-058,2025-04-23,2025-04-30,7,Packaging Shortage
INC-00092,SKU-059,2024-05-29,2024-06-05,7,Packaging Shortage
INC-00093,SKU-059,2025-05-21,2025-05-28,7,Packaging Shortage
INC-00094,SKU-059,2025-06-18,2025-06-25,7,Packaging Shortage
INC-00095,SKU-060,2024-02-28,2024-03-06,7,Packaging Shortage
INC-00096,SKU-060,2025-02-26,2025-03-05,7,Packaging Shortage
INC-00097,SKU-061,2024-03-06,2024-03-13,7,Packaging Shortage
INC-00098,SKU-061,2024-04-24,2024-05-01,7,Packaging Shortage
INC-00099,SKU-061,2025-02-12,2025-02-19,7,Packaging Shortage
INC-00100,SKU-061,2025-03-05,2025-03-12,7,Packaging Shortage
INC-00101,SKU-062,2024-05-08,2024-05-15,7,Packaging Shortage
INC-00102,SKU-062,2025-05-21,2025-05-28,7,Packaging Shortage
INC-00103,SKU-062,2025-07-30,2025-08-13,14,Packaging Shortage
INC-00104,SKU-065,2024-05-08,2024-05-15,7,Packaging Shortage
INC-00105,SKU-065,2024-07-24,2024-07-31,7,Packaging Shortage
INC-00106,SKU-065,2025-06-25,2025-07-02,7,Packaging Shortage
INC-00107,SKU-066,2024-05-08,2024-05-15,7,Packaging Shortage
INC-00108,SKU-066,2024-06-19,2024-06-26,7,Packaging Shortage
INC-00109,SKU-066,2024-07-17,2024-07-24,7,Packaging Shortage
INC-00110,SKU-066,2025-06-04,2025-06-11,7,Packaging Shortage
INC-00111,SKU-066,2025-06-25,2025-07-02,7,Packaging Shortage
INC-00112,SKU-067,2024-03-06,2024-03-20,14,Packaging Shortage
INC-00113,SKU-067,2025-02-19,2025-02-26,7,Packaging Shortage
INC-00114,SKU-068,2024-05-15,2024-05-29,14,Packaging Shortage
INC-00115,SKU-069,2024-05-15,2024-05-22,7,Packaging Shortage
INC-00116,SKU-069,2024-06-12,2024-06-19,7,Packaging Shortage
INC-00117,SKU-069,2025-05-07,2025-05-14,7,Packaging Shortage
INC-00118,SKU-071,2024-03-13,2024-03-20,7,Packaging Shortage
INC-00119,SKU-071,2025-02-05,2025-02-19,14,Packaging Shortage
INC-00120,SKU-072,2024-07-17,2024-07-24,7,Packaging Shortage
INC-00121,SKU-072,2025-06-18,2025-06-25,7,Packaging Shortage
INC-00122,SKU-072,2025-07-09,2025-07-23,14,Packaging Shortage
INC-00123,SKU-073,2024-03-27,2024-04-03,7,Packaging Shortage
INC-00124,SKU-073,2025-03-05,2025-03-12,7,Packaging Shortage
INC-00125,SKU-073,2025-04-02,2025-04-09,7,Packaging Shortage
INC-00126,SKU-073,2025-04-30,2025-05-07,7,Packaging Shortage
INC-00127,SKU-074,2024-05-22,2024-05-29,7,Packaging Shortage
INC-00128,SKU-074,2024-07-31,2024-08-07,7,Packaging Shortage
INC-00129,SKU-074,2025-05-07,2025-05-21,14,Packaging Shortage
INC-00130,SKU-076,2024-06-19,2024-06-26,7,Packaging Shortage
INC-00131,SKU-076,2025-05-14,2025-05-21,7,Packaging Shortage
INC-00132,SKU-078,2024-06-12,2024-06-19,7,Packaging Shortage
INC-00133,SKU-078,2025-05-14,2025-05-21,7,Packaging Shortage
INC-00134,SKU-078,2025-07-09,2025-07-16,7,Packaging Shortage
INC-00135,SKU-078,2025-08-06,2025-08-13,7,Packaging Shortage
INC-00136,SKU-079,2024-05-22,2024-05-29,7,Packaging Shortage
INC-00137,SKU-080,2024-06-12,2024-06-26,14,Packaging Shortage
INC-00138,SKU-080,2025-06-11,2025-06-18,7,Packaging Shortage
INC-00139,SKU-082,2024-03-06,2024-03-13,7,Packaging Shortage
INC-00140,SKU-082,2025-02-19,2025-03-05,14,Packaging Shortage
INC-00141,SKU-083,2024-05-08,2024-05-15,7,Packaging Shortage
INC-00142,SKU-083,2024-06-05,2024-06-19,14,Packaging Shortage
INC-00143,SKU-083,2025-07-16,2025-07-23,7,Packaging Shortage
INC-00144,SKU-084,2024-02-28,2024-03-06,7,Packaging Shortage
INC-00145,SKU-084,2024-04-24,2024-05-01,7,Packaging Shortage
INC-00146,SKU-085,2024-05-15,2024-05-22,7,Packaging Shortage
INC-00147,SKU-085,2024-06-19,2024-06-26,7,Packaging Shortage
INC-00148,SKU-085,2024-07-10,2024-07-24,14,Packaging Shortage
INC-00149,SKU-085,2025-05-14,2025-05-21,7,Packaging Shortage
INC-00150,SKU-086,2025-02-12,2025-02-19,7,Packaging Shortage
INC-00151,SKU-086,2025-03-05,2025-03-12,7,Packaging Shortage
INC-00152,SKU-086,2025-04-09,2025-04-16,7,Packaging Shortage
INC-00153,SKU-087,2024-03-06,2024-03-13,7,Packaging Shortage
INC-00154,SKU-087,2025-03-19,2025-03-26,7,Packaging Shortage
INC-00155,SKU-087,2025-04-16,2025-04-23,7,Packaging Shortage
INC-00156,SKU-093,2024-05-01,2024-05-15,14,Packaging Shortage
INC-00157,SKU-093,2025-07-30,2025-08-06,7,Packaging Shortage
INC-00158,SKU-097,2024-02-28,2024-03-13,14,Packaging Shortage
INC-00159,SKU-097,2025-03-12,2025-03-19,7,Packaging Shortage
INC-00160,SKU-097,2025-04-09,2025-04-16,7,Packaging Shortage
INC-00161,SKU-097,2025-04-30,2025-05-07,7,Packaging Shortage
INC-00162,SKU-098,2024-04-24,2024-05-08,14,Packaging Shortage
INC-00163,SKU-098,2025-04-02,2025-04-09,7,Packaging Shortage
INC-00164,SKU-098,2025-04-23,2025-05-07,14,Packaging Shortage
INC-00165,SKU-099,2025-06-11,2025-06-18,7,Packaging Shortage
